,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00025035956,17664.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00037038309,18424.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00072756743,19202.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00025035956,17664.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00037038309,18424.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00013649682,11870.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00014898068,12381.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00017131647,12904.0
61,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.5",1.5 TB,48,AMD EPYC 9454,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42",0.00022786109,52270.0
61,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.5",1.5 TB,48,AMD EPYC 9454,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42",0.00031868635,54516.0
